Event_Duration_Hours,Event_Type,Event_Complexity,Number_of_Attendees,Venue_Size,Resources_Available,Team_Size,External_Dependencies,Budget,Historical_Preparation_Time_Hours,Preparation_Time_Hours
16,Hackathon,Medium,867,Small,Low,11,Yes,Low,270,365
13,Conference,Medium,1981,Medium,Low,31,Yes,Medium,130,294
18,Workshop,High,547,Small,High,11,Yes,Medium,355,419
10,Hackathon,High,738,Medium,Low,38,No,Low,249,253
19,Hackathon,High,1187,Medium,High,21,Yes,Medium,474,566
17,Hackathon,Low,163,Small,Medium,46,Yes,Medium,116,95
24,Workshop,Medium,1719,Medium,Medium,30,Yes,Medium,189,384
19,Workshop,Medium,101,Small,Low,10,Yes,Low,25,105
23,Conference,High,1466,Small,Medium,26,Yes,Medium,364,503
5,Workshop,Medium,347,Small,Medium,27,Yes,Low,431,336
21,Conference,High,1513,Large,High,8,Yes,Low,318,496
23,Conference,Medium,1726,Small,High,39,Yes,Medium,224,375
9,Workshop,Medium,1164,Large,Low,8,Yes,Medium,86,218
12,Conference,Low,459,Medium,Low,8,No,Medium,234,256
21,Workshop,Medium,819,Small,Low,34,No,Low,102,182
1,Conference,Medium,796,Medium,High,16,Yes,Medium,190,213
1,Workshop,Medium,282,Medium,Medium,41,No,Low,183,92
15,Workshop,Medium,1962,Medium,Low,13,No,Medium,363,526
2,Conference,Medium,597,Small,Medium,23,Yes,Medium,363,327
22,Hackathon,Low,186,Small,Medium,12,No,Medium,228,290
16,Conference,Medium,1729,Small,High,27,Yes,High,152,329
8,Workshop,Medium,840,Small,Medium,22,No,Medium,324,338
13,Hackathon,Medium,652,Small,Medium,32,Yes,Medium,443,447
21,Conference,Low,1908,Small,Medium,49,Yes,Medium,402,513
1,Conference,Low,1082,Small,Medium,27,Yes,Low,291,309
16,Conference,Low,576,Small,Low,2,No,High,268,347
7,Hackathon,Medium,675,Small,Low,45,No,Medium,365,288
5,Workshop,Low,1388,Small,Medium,33,Yes,Low,56,147
22,Conference,Medium,1745,Large,Low,26,Yes,Medium,14,247
23,Conference,High,1341,Small,Medium,28,Yes,Low,71,239
3,Conference,Low,877,Medium,Medium,19,Yes,High,477,437
12,Conference,Medium,1918,Small,High,43,Yes,High,93,240
16,Conference,Medium,1663,Large,Medium,5,Yes,Medium,142,353
19,Workshop,High,1808,Small,Medium,33,No,Low,403,507
5,Workshop,Medium,1079,Large,Medium,20,No,Low,345,379
22,Conference,Medium,311,Medium,Medium,30,Yes,Low,72,134
14,Hackathon,High,877,Small,Low,45,Yes,Low,290,286
5,Workshop,Medium,921,Large,High,8,No,Medium,53,153
15,Hackathon,High,417,Medium,Low,38,No,High,162,170
17,Workshop,Low,1222,Small,Medium,17,No,Medium,423,524
14,Conference,High,831,Medium,High,44,No,Medium,279,293
20,Workshop,Medium,1863,Large,Medium,1,No,Medium,351,565
5,Conference,Medium,1162,Medium,High,3,Yes,High,180,278
12,Workshop,Low,570,Small,Medium,46,Yes,Low,165,162
16,Conference,Medium,1570,Medium,High,26,No,Medium,487,570
16,Conference,Low,1299,Medium,High,31,Yes,Medium,284,367
21,Conference,High,1151,Large,High,8,Yes,High,367,504
7,Conference,High,473,Medium,High,43,Yes,High,435,343
4,Hackathon,Low,153,Small,High,46,No,Medium,29,10
1,Conference,High,451,Large,High,8,No,Low,492,439
5,Hackathon,Medium,1233,Small,Medium,35,Yes,Medium,223,256
23,Hackathon,Medium,1190,Small,Low,39,Yes,Low,88,227
10,Conference,Medium,496,Medium,Medium,28,No,Medium,148,156
22,Hackathon,Low,869,Medium,High,4,Yes,Medium,447,551
5,Workshop,Low,1167,Small,High,16,Yes,Medium,107,199
4,Conference,Medium,1945,Medium,High,13,No,High,386,506
2,Hackathon,High,157,Small,High,20,Yes,Medium,161,109
20,Conference,Low,1369,Medium,Low,5,Yes,Medium,207,388
10,Conference,High,1104,Large,Medium,37,No,Low,282,320
19,Conference,Medium,1266,Small,Medium,20,Yes,High,165,316
1,Hackathon,Medium,1367,Small,Low,24,No,Low,59,132
24,Workshop,Medium,820,Small,Medium,36,Yes,Low,488,533
5,Workshop,High,675,Large,High,34,Yes,Low,237,197
13,Hackathon,Medium,99,Small,High,45,Yes,Medium,448,351
4,Conference,Medium,1367,Small,Medium,48,Yes,Low,466,421
16,Hackathon,Medium,208,Medium,Low,34,No,High,19,67
24,Hackathon,Low,1194,Medium,Medium,19,No,High,158,312
16,Hackathon,Low,547,Small,Medium,17,No,High,67,166
23,Conference,Medium,1154,Medium,Medium,5,Yes,Low,171,356
2,Hackathon,Medium,310,Small,Low,25,No,High,360,275
17,Conference,Medium,733,Large,Medium,18,Yes,High,486,513
20,Hackathon,Medium,1608,Small,Medium,50,No,High,116,260
24,Workshop,Medium,972,Small,High,8,No,Medium,436,541
12,Hackathon,Medium,1469,Medium,Low,27,Yes,Medium,404,468
18,Hackathon,Medium,77,Small,Low,15,Yes,Low,298,313
3,Workshop,High,1798,Medium,Low,45,Yes,High,195,244
1,Conference,Medium,1955,Small,Medium,13,Yes,Low,55,213
1,Conference,Medium,468,Small,Medium,16,No,Medium,454,413
19,Hackathon,Low,1547,Medium,High,22,Yes,High,455,560
11,Workshop,Medium,407,Medium,Medium,20,Yes,Medium,138,178
5,Conference,Medium,629,Medium,Medium,13,Yes,Low,414,387
12,Hackathon,Medium,1319,Small,Medium,20,No,High,327,419
3,Workshop,Medium,1594,Small,Medium,2,Yes,High,457,543
1,Conference,High,1173,Small,Low,35,Yes,Low,96,140
1,Conference,Low,739,Small,Medium,47,Yes,High,258,189
8,Workshop,Medium,565,Medium,High,19,No,Medium,338,349
10,Workshop,Medium,1962,Large,High,45,Yes,Medium,449,510
11,Workshop,Low,790,Small,High,37,No,Low,266,275
12,Workshop,Low,1623,Small,Medium,6,Yes,Low,286,442
13,Hackathon,Medium,1761,Small,Medium,14,Yes,Low,287,431
12,Workshop,Low,903,Small,High,4,Yes,Low,447,497
14,Conference,Low,619,Small,Low,22,Yes,High,13,100
2,Conference,Low,757,Large,Low,39,Yes,Medium,74,63
19,Hackathon,Medium,291,Medium,Low,36,Yes,High,444,432
18,Conference,Medium,670,Large,Medium,34,No,Medium,211,249
3,Conference,Medium,933,Large,Medium,27,Yes,Low,72,124
23,Workshop,High,1849,Medium,Medium,7,Yes,High,152,416
17,Conference,Medium,1005,Medium,Medium,3,No,High,253,382
8,Hackathon,Medium,1969,Small,High,47,Yes,Medium,301,375
10,Workshop,High,1611,Medium,Low,33,No,Low,294,373
2,Workshop,Medium,755,Large,Medium,2,No,Medium,189,228
19,Hackathon,Medium,1490,Small,Medium,42,Yes,Medium,183,289
9,Workshop,Medium,96,Large,Medium,16,No,High,334,280
7,Workshop,Low,1112,Small,Medium,25,Yes,Low,422,419
4,Hackathon,Medium,1238,Large,High,15,Yes,Low,120,223
21,Workshop,Medium,800,Large,Low,24,Yes,Medium,184,290
18,Hackathon,Medium,1370,Medium,High,15,Yes,Medium,484,592
13,Hackathon,Low,1287,Medium,Medium,31,Yes,Low,162,267
11,Conference,High,313,Medium,Low,14,Yes,Medium,473,438
24,Conference,Medium,1413,Large,High,14,Yes,Medium,409,575
4,Workshop,Medium,139,Large,Medium,6,Yes,Medium,365,308
21,Workshop,High,605,Medium,Low,14,Yes,Medium,226,319
4,Hackathon,Medium,1309,Medium,Low,17,Yes,Medium,306,369
10,Workshop,High,1732,Medium,Low,18,Yes,High,458,540
5,Hackathon,Medium,567,Large,Medium,20,Yes,High,462,442
9,Hackathon,Low,908,Medium,Low,17,Yes,Low,498,500
24,Workshop,Medium,1216,Large,Medium,16,Yes,Low,413,541
3,Hackathon,Medium,1301,Medium,Low,40,No,High,462,447
17,Conference,Medium,1841,Small,High,39,No,Medium,429,543
3,Workshop,High,1355,Small,High,32,Yes,Medium,486,476
16,Conference,Medium,1545,Medium,High,44,No,Medium,249,347
4,Workshop,Medium,1645,Small,Low,9,Yes,Low,235,339
18,Hackathon,High,87,Small,High,27,Yes,Medium,195,195
17,Workshop,Medium,793,Medium,Medium,46,No,Medium,57,123
7,Conference,Medium,1372,Small,High,33,Yes,Medium,475,491
24,Hackathon,High,683,Small,Medium,10,No,Low,395,497
23,Workshop,Low,1589,Medium,Medium,17,Yes,High,217,412
5,Workshop,Medium,1542,Large,High,49,Yes,Medium,166,200
12,Workshop,High,247,Medium,Low,49,Yes,Medium,234,184
17,Conference,Medium,1167,Large,Medium,36,Yes,High,153,266
23,Conference,Medium,1225,Medium,High,17,Yes,Medium,428,555
13,Workshop,Medium,1389,Small,High,18,Yes,Medium,120,262
23,Hackathon,Medium,287,Medium,High,23,No,High,327,370
3,Hackathon,High,1051,Medium,Medium,34,Yes,Medium,372,384
9,Conference,Low,533,Small,Medium,8,Yes,Medium,371,380
17,Hackathon,Low,189,Small,Low,13,Yes,High,474,444
17,Conference,Low,132,Medium,Medium,23,No,Low,141,159
20,Workshop,Medium,1279,Small,Medium,20,Yes,Low,122,292
16,Conference,Medium,1767,Medium,Medium,22,Yes,High,333,463
22,Conference,High,1406,Small,Low,47,No,High,444,513
13,Workshop,Medium,1084,Medium,Medium,23,Yes,High,98,210
19,Hackathon,Medium,1104,Medium,High,41,Yes,Low,170,275
17,Conference,Low,489,Small,High,35,No,Low,343,351
4,Conference,Medium,1593,Small,High,3,No,Low,417,516
12,Workshop,Medium,1052,Medium,High,34,Yes,Medium,84,143
9,Hackathon,Low,1807,Large,Medium,33,Yes,Medium,290,401
19,Conference,Low,93,Large,High,46,No,Medium,421,356
12,Workshop,Low,1188,Medium,Medium,17,Yes,Low,16,160
9,Conference,Low,574,Medium,High,45,No,Medium,122,93
7,Workshop,Medium,628,Small,High,19,Yes,Medium,45,88
14,Hackathon,Low,366,Small,High,30,Yes,Low,275,255
20,Hackathon,Medium,825,Small,Medium,23,Yes,High,122,214
19,Hackathon,High,656,Medium,Low,15,No,Low,301,371
15,Hackathon,Medium,452,Small,Low,14,No,Medium,232,270
16,Conference,High,1102,Small,Low,2,No,High,220,388
21,Conference,Medium,532,Medium,Low,39,No,Medium,27,100
5,Hackathon,Medium,152,Medium,Low,49,Yes,Low,250,155
3,Hackathon,High,201,Small,Medium,18,Yes,Medium,143,98
12,Hackathon,Low,1420,Small,Medium,6,No,High,229,368
20,Conference,High,387,Medium,High,32,No,Low,400,396
21,Hackathon,Low,590,Medium,Medium,21,No,Medium,111,202
4,Hackathon,Medium,544,Medium,Medium,40,No,High,149,109
21,Hackathon,Low,1726,Small,High,28,Yes,High,178,362
23,Workshop,Medium,1326,Medium,Medium,27,Yes,Medium,200,351
16,Hackathon,Medium,1042,Large,High,2,No,High,491,592
7,Workshop,Medium,1304,Small,Low,33,Yes,High,34,130
13,Workshop,Medium,1420,Large,Low,16,Yes,Medium,474,559
21,Hackathon,Medium,102,Small,Medium,39,No,Low,446,399
10,Workshop,Low,1999,Small,Low,22,Yes,Low,42,246
7,Hackathon,Medium,538,Medium,Medium,43,No,Low,352,284
14,Conference,High,1187,Small,Medium,47,Yes,High,338,362
5,Conference,Medium,414,Small,Medium,13,No,Medium,15,54
3,Conference,High,849,Medium,Low,2,No,High,455,471
23,Conference,High,1182,Medium,Medium,14,Yes,Medium,203,379
11,Workshop,Medium,898,Large,Medium,38,Yes,Medium,239,258
11,Hackathon,Medium,1300,Medium,Medium,41,Yes,Medium,146,227
18,Hackathon,Low,431,Small,Low,28,Yes,Low,332,341
15,Hackathon,Low,1873,Medium,Low,7,Yes,High,409,576
12,Conference,Low,1651,Medium,Low,18,Yes,Medium,482,570
9,Conference,Medium,481,Large,Low,41,Yes,Medium,225,189
10,Hackathon,Medium,902,Large,High,36,Yes,Low,358,368
12,Conference,Medium,556,Large,Low,41,Yes,High,373,333
17,Hackathon,Medium,640,Medium,High,36,No,High,192,232
6,Hackathon,Medium,1559,Medium,High,44,Yes,Medium,177,225
7,Hackathon,Medium,1536,Small,Low,4,No,Medium,291,410
14,Hackathon,Medium,1047,Large,Medium,30,No,Medium,47,150
13,Hackathon,Low,787,Small,High,24,No,Low,172,225
8,Hackathon,Low,1685,Small,High,20,No,Low,480,553
10,Hackathon,Medium,1839,Small,Medium,46,Yes,Medium,461,506
9,Conference,Medium,373,Medium,High,31,No,Low,452,383
18,Hackathon,Medium,128,Medium,High,24,Yes,Medium,499,455
2,Hackathon,Medium,1271,Medium,Medium,7,No,Medium,151,234
5,Conference,Medium,555,Large,High,26,No,Medium,257,230
5,Conference,Low,1202,Large,Medium,13,Yes,Low,440,472
6,Conference,Low,531,Small,Medium,8,Yes,Medium,112,169
19,Hackathon,Medium,643,Small,High,5,Yes,Medium,208,318
8,Workshop,Medium,1946,Large,High,44,No,Medium,209,307
16,Workshop,Medium,1690,Large,Medium,13,Yes,Medium,51,268
13,Conference,High,972,Medium,Low,29,Yes,High,444,476
1,Workshop,Medium,967,Medium,Medium,20,Yes,Low,156,196
22,Conference,Medium,1768,Small,High,14,Yes,High,75,324
20,Hackathon,Medium,892,Large,Medium,32,No,Low,440,484
17,Workshop,Medium,1802,Medium,High,50,No,Medium,202,341
7,Hackathon,Medium,789,Medium,High,27,Yes,Medium,307,316
13,Workshop,Medium,880,Small,Medium,25,Yes,Medium,47,146
4,Hackathon,Medium,525,Large,Low,4,Yes,Medium,150,195
4,Workshop,Low,947,Medium,Medium,21,Yes,Medium,115,154
6,Hackathon,Medium,1430,Small,Medium,18,No,Medium,437,472
19,Hackathon,High,875,Medium,Medium,39,Yes,High,161,235
12,Workshop,High,115,Medium,Medium,15,Yes,Low,361,331
22,Hackathon,Medium,1118,Medium,Medium,38,No,Low,423,479
7,Hackathon,Medium,223,Medium,Medium,48,No,Low,335,238
10,Hackathon,Medium,1154,Medium,Medium,24,Yes,Low,47,136
19,Workshop,Medium,1165,Large,Medium,8,Yes,Medium,106,275
7,Workshop,Low,859,Small,Low,28,Yes,Medium,117,154
3,Hackathon,Medium,206,Small,Medium,21,No,Low,128,80
13,Hackathon,Medium,28,Small,Medium,16,No,Low,160,179
13,Workshop,High,651,Medium,Medium,16,Yes,Medium,83,151
18,Workshop,Medium,1045,Medium,Low,35,Yes,Medium,66,171
20,Hackathon,Medium,1114,Large,High,17,No,High,375,486
8,Hackathon,Medium,339,Medium,Medium,9,No,High,344,338
9,Hackathon,Medium,875,Medium,Medium,35,No,High,261,260
7,Conference,Medium,783,Large,High,29,Yes,Medium,416,395
1,Workshop,Low,401,Small,Medium,39,Yes,Medium,301,211
3,Conference,Medium,646,Large,Medium,18,Yes,Low,322,325
13,Workshop,High,316,Medium,High,12,Yes,Medium,264,288
17,Workshop,Medium,1300,Medium,High,19,Yes,Low,263,386
24,Workshop,Low,1480,Medium,High,48,Yes,High,394,479
1,Workshop,Medium,1474,Medium,High,22,Yes,Medium,465,473
6,Workshop,High,904,Small,Low,49,No,Medium,268,229
21,Workshop,Low,661,Medium,Low,15,Yes,Low,279,378
6,Workshop,Medium,850,Medium,Medium,1,No,Medium,474,492
12,Conference,High,1035,Large,Medium,2,Yes,Medium,43,200
13,Hackathon,Medium,529,Medium,Medium,8,No,Low,335,385
13,Hackathon,High,1795,Large,High,22,Yes,Medium,334,444
15,Conference,Medium,1684,Medium,Medium,25,No,Low,247,404
21,Conference,Medium,645,Medium,Medium,2,Yes,Medium,188,316
16,Conference,Medium,1342,Medium,High,9,Yes,Medium,498,599
22,Conference,Low,749,Medium,High,9,No,High,113,249
21,Workshop,Low,1555,Large,Medium,13,Yes,Medium,38,257
11,Hackathon,Medium,478,Medium,High,6,Yes,Medium,236,284
5,Workshop,Low,221,Medium,High,30,No,High,475,391
4,Hackathon,Medium,1145,Small,Medium,15,No,Medium,241,307
3,Hackathon,High,1041,Medium,Low,15,Yes,Medium,313,352
19,Conference,High,813,Small,Low,50,Yes,Medium,359,362
20,Workshop,Medium,486,Medium,Medium,7,Yes,High,344,404
18,Conference,High,883,Small,Medium,11,Yes,Medium,126,249
15,Workshop,Medium,469,Small,High,40,No,Medium,216,210
9,Hackathon,Medium,262,Small,High,38,Yes,Medium,409,302
17,Conference,Low,1559,Small,High,40,Yes,Low,194,309
14,Conference,Medium,761,Small,High,2,No,High,490,528
15,Hackathon,Medium,1471,Large,High,48,Yes,Medium,147,242
1,Hackathon,Medium,1787,Medium,Medium,39,No,Medium,412,437
21,Hackathon,Medium,990,Medium,Low,10,Yes,Medium,494,583
22,Conference,Low,863,Medium,High,44,Yes,Low,332,374
22,Workshop,Medium,1694,Small,Medium,17,Yes,High,173,378
3,Conference,High,245,Large,Medium,7,Yes,High,397,323
16,Workshop,Medium,1339,Small,Medium,40,Yes,Medium,84,195
23,Conference,High,487,Small,High,39,Yes,High,242,270
11,Conference,High,688,Medium,Medium,4,Yes,Low,426,461
12,Hackathon,High,1053,Small,High,35,Yes,High,293,339
10,Workshop,High,225,Medium,Medium,47,Yes,Medium,489,379
16,Conference,High,864,Small,Medium,36,Yes,Medium,386,411
8,Conference,Medium,144,Medium,Low,31,Yes,Low,264,202
6,Hackathon,Low,914,Medium,High,25,No,Medium,473,445
12,Hackathon,Medium,1162,Small,Low,41,Yes,Low,18,101
24,Workshop,Medium,419,Medium,High,13,Yes,High,212,290
21,Conference,Medium,1455,Small,Low,18,No,High,399,544
8,Workshop,Medium,1327,Medium,Medium,21,Yes,Low,388,439
4,Conference,High,1279,Small,Medium,48,No,Low,314,291
8,Workshop,High,1734,Medium,Medium,1,No,High,100,283
18,Hackathon,High,1589,Medium,Low,36,Yes,Medium,390,480
5,Conference,Medium,95,Small,Medium,50,Yes,Low,341,208
9,Workshop,Low,565,Large,High,8,No,Medium,159,223
4,Hackathon,Low,1875,Large,Medium,48,Yes,Medium,369,403
22,Hackathon,Medium,1408,Medium,Low,21,No,Low,185,334
17,Workshop,Low,1479,Medium,High,43,Yes,Medium,494,540
9,Conference,Low,387,Small,Low,21,Yes,Medium,414,371
1,Conference,High,1423,Medium,Medium,27,Yes,Low,42,125
21,Hackathon,Medium,1690,Small,Medium,19,Yes,High,474,609
20,Conference,Medium,1084,Small,Medium,23,Yes,Medium,193,319
13,Conference,Low,251,Large,Medium,50,No,Low,166,124
16,Conference,Medium,1327,Medium,High,43,No,Low,62,176
13,Hackathon,Low,929,Medium,Medium,35,No,Low,305,336
14,Workshop,High,1596,Small,Medium,40,Yes,Medium,211,314
3,Conference,Medium,275,Medium,Medium,42,No,Low,283,180
6,Hackathon,Medium,1153,Small,High,48,No,Medium,184,210
18,Hackathon,Medium,721,Small,Medium,5,No,Low,253,360
19,Workshop,Low,1950,Small,High,41,Yes,Medium,278,439
5,Conference,Medium,1281,Medium,High,8,No,Medium,420,485
15,Conference,Medium,79,Medium,High,11,Yes,Medium,455,430
2,Workshop,Medium,1886,Small,High,16,Yes,Medium,83,242
10,Workshop,Low,66,Medium,Low,39,No,High,105,47
24,Hackathon,Medium,1415,Small,High,47,Yes,Medium,370,466
18,Hackathon,Medium,48,Medium,Medium,24,Yes,Medium,182,191
13,Workshop,High,810,Large,High,21,No,Medium,396,438
5,Conference,Medium,1476,Medium,Medium,23,Yes,High,415,468
23,Hackathon,Medium,1051,Large,High,49,No,Low,164,247
24,Hackathon,Medium,1985,Large,Medium,38,No,Medium,192,400
1,Conference,Medium,741,Medium,Medium,47,Yes,Medium,332,252
22,Hackathon,Medium,834,Medium,High,8,Yes,Medium,298,420
1,Conference,Medium,765,Large,Low,7,No,Medium,267,271
18,Conference,Medium,361,Small,Medium,2,Yes,Medium,84,193
15,Conference,High,1849,Small,Medium,30,No,Low,183,344
17,Workshop,Medium,1331,Large,High,13,No,High,339,466
11,Workshop,High,292,Medium,Low,23,Yes,Low,240,223
21,Workshop,Medium,1619,Small,Low,29,Yes,Low,256,408
22,Conference,High,119,Medium,Low,38,No,Medium,170,194
17,Conference,High,1026,Medium,Low,37,Yes,High,195,259
13,Workshop,Medium,1213,Medium,High,20,Yes,Medium,400,457
1,Hackathon,High,1971,Medium,High,33,No,High,152,257
2,Conference,Low,553,Medium,Medium,29,No,Low,291,232
9,Hackathon,High,1779,Medium,Medium,50,No,Medium,404,437
3,Hackathon,Medium,1827,Medium,High,15,Yes,Low,137,278
1,Conference,Low,34,Medium,Low,23,No,High,175,87
21,Conference,Medium,852,Medium,Medium,42,No,Medium,36,125
16,Hackathon,High,800,Medium,Medium,3,No,Low,255,379
23,Hackathon,Low,747,Small,Low,37,No,Medium,496,517
6,Workshop,Medium,66,Medium,Medium,29,Yes,Medium,144,86
17,Workshop,Medium,189,Large,Medium,45,No,Medium,394,333
5,Conference,High,241,Small,Low,8,No,High,211,208
5,Workshop,Medium,1927,Small,Low,22,Yes,Low,30,208
6,Workshop,Low,352,Medium,High,29,Yes,Low,88,76
3,Workshop,Low,486,Large,Low,2,No,Low,167,203
21,Workshop,Medium,1832,Small,High,41,Yes,Medium,103,268
23,Hackathon,Medium,585,Small,Low,49,Yes,Low,17,79
5,Conference,High,464,Small,High,50,Yes,Medium,481,358
21,Workshop,Low,1265,Medium,High,45,Yes,Low,348,423
5,Hackathon,Medium,298,Small,High,1,Yes,High,268,258
10,Hackathon,Low,1246,Small,High,44,Yes,Low,64,140
10,Hackathon,Low,267,Medium,Medium,20,No,Low,408,357
19,Workshop,Medium,539,Large,Medium,21,No,Low,45,140
17,Workshop,Medium,696,Medium,Medium,37,No,Medium,15,103
21,Conference,Medium,938,Small,Low,8,Yes,Medium,386,501
14,Workshop,High,238,Medium,Low,27,No,High,51,71
9,Workshop,Medium,1259,Large,High,47,No,Medium,59,114
14,Hackathon,High,605,Medium,Medium,35,No,High,121,153
1,Conference,High,1836,Large,Medium,6,Yes,Medium,155,300
19,Workshop,Medium,444,Large,High,45,Yes,Low,239,234
13,Workshop,High,891,Small,Medium,44,No,High,220,253
13,Hackathon,Medium,1030,Medium,Medium,19,No,High,315,385
4,Hackathon,Low,1791,Small,High,18,No,High,39,198
1,Workshop,Medium,411,Medium,Low,1,Yes,Low,470,407
17,Conference,Low,631,Small,Medium,25,Yes,Medium,304,353
8,Conference,Medium,1799,Small,High,27,No,Low,125,238
2,Hackathon,Medium,97,Large,High,7,Yes,Low,405,338
8,Hackathon,Low,593,Small,High,44,No,Medium,235,209
7,Workshop,Low,1926,Large,Medium,42,No,High,68,194
2,Hackathon,High,1575,Small,High,29,No,Medium,85,190
22,Workshop,Medium,1717,Small,Low,31,Yes,High,437,569
22,Conference,Low,318,Large,Low,44,Yes,Low,225,234
3,Conference,Medium,915,Medium,Medium,43,No,Low,141,137
18,Workshop,Medium,352,Medium,Medium,36,No,Medium,429,428
12,Hackathon,Medium,445,Small,Medium,19,Yes,Medium,313,330
1,Conference,High,186,Medium,Medium,6,Yes,High,407,344
22,Hackathon,Medium,148,Medium,Low,25,Yes,Medium,90,138
12,Conference,Medium,203,Medium,Medium,31,No,Medium,314,271
5,Workshop,High,1219,Medium,High,9,No,Medium,76,182
17,Workshop,High,1251,Large,Medium,20,No,Low,239,370
16,Workshop,Low,1197,Medium,Low,10,Yes,High,480,565
15,Conference,Low,1194,Large,Medium,37,No,Medium,342,383
23,Hackathon,Low,952,Medium,Medium,27,Yes,Medium,402,479
15,Hackathon,Medium,534,Medium,Medium,13,Yes,High,286,323
5,Hackathon,Medium,1841,Small,Medium,41,No,Medium,370,425
21,Conference,Medium,1634,Small,Medium,2,Yes,High,81,321
14,Conference,High,1869,Large,High,50,Yes,Low,218,332
2,Conference,Medium,1075,Small,Low,21,No,Low,281,308
11,Conference,Low,924,Small,Medium,33,Yes,High,153,203
19,Conference,Medium,219,Small,Medium,24,Yes,High,260,273
7,Hackathon,Medium,750,Small,Medium,44,Yes,Medium,293,258
6,Conference,Medium,871,Large,Low,42,Yes,Medium,188,190
2,Conference,Medium,1308,Large,Low,34,No,High,449,421
6,Hackathon,High,963,Medium,Medium,9,Yes,Low,89,182
18,Conference,Medium,1312,Small,High,2,No,Low,66,283
2,Hackathon,Medium,1284,Medium,High,30,Yes,Medium,375,384
18,Hackathon,Medium,1343,Medium,Medium,22,Yes,Low,317,434
15,Workshop,Medium,1753,Large,High,46,Yes,Low,183,311
19,Workshop,Low,842,Medium,Low,11,No,High,471,539
2,Workshop,Medium,149,Small,High,43,Yes,Low,247,144
20,Workshop,Low,801,Medium,Medium,17,No,High,175,266
6,Conference,High,555,Large,Medium,36,Yes,Medium,93,72
1,Workshop,Low,1854,Medium,High,13,No,Medium,57,220
24,Hackathon,Medium,1026,Medium,High,7,No,Medium,136,302
15,Conference,Medium,1937,Small,High,16,No,Medium,178,383
23,Workshop,High,1563,Medium,Low,33,No,Low,363,492
10,Hackathon,Low,66,Medium,High,45,No,Low,383,263
19,Conference,Low,121,Small,High,1,No,Medium,452,470
17,Conference,Low,14,Medium,Medium,11,Yes,Low,358,353
5,Workshop,Low,1443,Small,Low,6,Yes,Low,76,239
4,Conference,Low,1447,Small,Low,20,No,High,339,390
10,Hackathon,Medium,1215,Small,High,35,Yes,High,349,395
24,Conference,Low,1046,Small,Medium,44,Yes,Medium,203,303
17,Hackathon,Low,1372,Medium,Medium,37,Yes,Low,164,273
10,Conference,High,1830,Small,Medium,41,Yes,Medium,169,294
17,Workshop,Medium,1292,Small,Medium,26,No,High,193,322
20,Hackathon,Medium,99,Large,Medium,12,Yes,Low,275,306
24,Conference,Medium,625,Medium,Medium,30,No,Low,177,267
5,Conference,High,900,Medium,High,28,No,High,154,176
2,Conference,Low,707,Medium,Medium,27,No,High,195,174
6,Hackathon,High,1283,Medium,High,42,Yes,Medium,383,388
21,Hackathon,Medium,1288,Small,Medium,19,Yes,Low,362,483
2,Hackathon,Low,1621,Large,Low,5,No,Medium,271,378
13,Workshop,High,907,Small,Medium,5,No,Medium,432,494
11,Workshop,Low,980,Medium,Medium,41,No,Low,283,300
11,Hackathon,Low,1141,Small,Medium,27,Yes,Low,466,474
16,Conference,High,677,Medium,High,28,Yes,Low,337,374
11,Workshop,Medium,603,Medium,Medium,26,No,Medium,354,348
19,Hackathon,Medium,598,Medium,Low,27,Yes,Medium,232,284
15,Conference,Low,494,Small,Low,49,No,High,51,72
23,Workshop,Medium,991,Medium,Medium,42,No,Medium,13,143
23,Conference,Medium,981,Large,High,21,No,High,285,407
16,Conference,Medium,1291,Large,Medium,1,Yes,High,293,447
11,Conference,Medium,648,Small,Medium,28,Yes,Low,433,417
22,Conference,Low,1006,Small,Medium,48,No,Medium,202,290
16,Workshop,Low,1936,Large,Medium,15,No,Medium,113,343
8,Workshop,High,291,Medium,Medium,17,No,Low,256,238
4,Workshop,Medium,995,Medium,Low,26,No,High,309,303
8,Hackathon,High,1121,Large,Medium,20,No,Low,32,154
4,Workshop,Medium,1237,Large,Low,25,No,Medium,450,451
24,Conference,Medium,25,Medium,Low,13,Yes,Medium,312,341
3,Workshop,Low,1184,Medium,High,33,Yes,Medium,22,68
3,Conference,Medium,945,Small,Low,25,Yes,Medium,153,185
18,Hackathon,Low,263,Medium,High,8,Yes,Medium,227,283
19,Conference,Medium,1221,Small,High,5,Yes,Low,192,346
19,Conference,Medium,338,Small,Medium,6,Yes,Low,360,409
21,Conference,High,553,Small,Medium,23,No,High,251,310
5,Hackathon,Medium,792,Small,Low,30,Yes,Low,202,233
18,Workshop,Low,1006,Medium,High,14,Yes,Low,474,536
10,Workshop,Low,1430,Medium,Medium,23,Yes,Medium,281,367
22,Hackathon,Low,1550,Medium,Medium,11,No,Low,384,541
21,Conference,Medium,1492,Small,Low,31,Yes,Medium,174,344
6,Workshop,Medium,1363,Large,High,6,Yes,Medium,189,302
1,Hackathon,High,1853,Small,Low,11,Yes,Medium,126,262
5,Workshop,Low,854,Medium,Medium,13,No,Medium,275,311
9,Hackathon,Medium,1202,Large,Medium,12,No,Low,387,437
12,Conference,Medium,1726,Medium,Low,2,No,Medium,47,272
14,Workshop,Medium,375,Medium,Medium,35,Yes,Low,53,98
